description,class,class_reason,tool,is_invasive,tool_reason,is_invasive_reason,,,,
EXERCISE MIBI MIBI,Cardiothoracic,A MIBI scan assesses myocardial perfusion and heart function.,Nuclear medicine,No,A radiotracer is injected and a gamma camera records images of the heart to evaluate blood flowhttps://my.clevelandclinic.org/health/diagnostics/17015-gallium-scan#:~:text=A%20gallium%20scan%20is%20a,the%20gallium%20and%20takes%20pictureshttps://my.clevelandclinic.org/health/diagnostics/17015-gallium-scan#:~:text=During%20a%20gallium%20scan%2C%20a,the%20gallium%20inside%20your%20body.,The test is non‑invasive apart from the intravenous injection of tracerhttps://my.clevelandclinic.org/health/diagnostics/17015-gallium-scan#:~:text=A%20gallium%20scan%20is%20a,the%20gallium%20and%20takes%20pictureshttps://my.clevelandclinic.org/health/diagnostics/17015-gallium-scan#:~:text=During%20a%20gallium%20scan%2C%20a,the%20gallium%20inside%20your%20body.
FETAL BPP WITH MEASUREMENTS,Obstetric,The description relates to pregnancy or fetal imaging.,X-ray,No,,,,,,
FLUORO LOCALIZATION FOR NEEDLE BIOPSY,Whole-body/Polytrauma,Fluoroscopic localization for a biopsy can be performed on various body sites.,Fluoroscopy,Yes,Fluoroscopy provides real‑time X‑ray imaging to guide needle biopsy placement.,"A needle is inserted into the tissue for biopsy, making the procedure invasive.",,,,
FULL FETAL (COMPLETE FETAL & MATERNAL EVAL 18 WKS OR >),Obstetric,The description relates to pregnancy or fetal imaging.,X-ray,No,,,,,,
ILEOGRAPHY/LOOPOGRAM,Abdomen,Ileography or loopogram evaluates the ileal conduit or small bowel loops.,Fluoroscopy,Yes,"Contrast is injected through a stoma or tube and real‑time X‑ray images are taken to visualize bowel loops, similar to a fistulogramhttps://www.radiologyinfo.org/en/info/fistulogram-sinogram#:~:text=A%20fistulogram%20is%20a%20medical,fistulas%20and%20sinuses%20and%20anyhttps://www.radiologyinfo.org/en/info/fistulogram-sinogram#:~:text=The%20radiologist%20typically%20will%20introduce,plastic%20tube%20called%20a%20catheter.","The test requires insertion of a catheter into the ileal stoma and injection of contrast, which is invasivehttps://www.radiologyinfo.org/en/info/fistulogram-sinogram#:~:text=A%20fistulogram%20is%20a%20medical,fistulas%20and%20sinuses%20and%20anyhttps://www.radiologyinfo.org/en/info/fistulogram-sinogram#:~:text=The%20radiologist%20typically%20will%20introduce,plastic%20tube%20called%20a%20catheter.",,,,
INITIAL 2ND ORDER,Vascular,Initial second‑order selective catheterization involves catheter placement into second‑order branches of arteries.,Interventional Procedure,Yes,The procedure uses imaging guidance to navigate the catheter into the vessel and deliver contrasthttps://genhealth.ai/code/cpt4/36215-selective-catheter-placement-arterial-system-each-first-order-thoracic-or-brachiocephalic-branch-within-a-vascular-family#:~:text=.,Requires catheter insertion and contrast injection into the arteryhttps://genhealth.ai/code/cpt4/36215-selective-catheter-placement-arterial-system-each-first-order-thoracic-or-brachiocephalic-branch-within-a-vascular-family#:~:text=.,,,,
INJ PARAVERT F JNT L/S 1 LEV,Spine,The procedure involves injecting into the lumbar or sacral paravertebral facet joint.,Fluoroscopy,Yes,Facet joint injections are performed under fluoroscopic guidance with contrast to confirm needle placementhttps://www.spine-health.com/video/facet-joint-injections-procedure-video#:~:text=The%20physician%20uses%20X,is%20contained%20inside%20the%20joint.,"A needle is inserted into the facet joint and medication is injected, making the procedure invasivehttps://www.spine-health.com/video/facet-joint-injections-procedure-video#:~:text=The%20physician%20uses%20X,is%20contained%20inside%20the%20joint.",,,
INJ/ASP INTERMED JT W/FLUORO,MSK Upper Limb,"Joint injection/aspiration targets an intermediate joint (e.g., wrist or ankle).",Fluoroscopy,Yes,Fluoroscopic guidance is used to accurately place the needle during joint injection or aspirationhttps://my.clevelandclinic.org/health/treatments/14512-arthrocentesis-joint-aspiration#:~:text=What%20happens%20during%20the%20arthrocentesis,procedure.,The procedure involves inserting a needle into a joint to withdraw fluid or inject medicationhttps://my.clevelandclinic.org/health/treatments/14512-arthrocentesis-joint-aspiration#:~:text=What%20happens%20during%20the%20arthrocentesis,procedure.,,
"INT/SHTH,EP,FXD CURVE/PELL AWY",Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
INTRO INTRAVASCULAR STENT,Vascular,The description involves imaging of blood vessels or vascular structures.,Angiography,Yes,,,,,,
INTRO INTRO EXTREMITY ARTERY,Vascular,The description involves imaging of blood vessels or vascular structures.,X-ray,No,,,,,,
IVC GRAM,Vascular,An inferior vena cava (IVC) gram is a venography study of the IVC.,Fluoroscopy,Yes,Venography uses fluoroscopy and contrast injection to obtain images of veinshttps://www.radiologyinfo.org/en/info/fistulogram-sinogram#:~:text=A%20fistulogram%20is%20a%20medical,fistulas%20and%20sinuses%20and%20anyhttps://www.radiologyinfo.org/en/info/fistulogram-sinogram#:~:text=The%20radiologist%20typically%20will%20introduce,plastic%20tube%20called%20a%20catheter.,"The examination requires catheter insertion and injection of contrast into the vein, making it invasivehttps://www.radiologyinfo.org/en/info/fistulogram-sinogram#:~:text=A%20fistulogram%20is%20a%20medical,fistulas%20and%20sinuses%20and%20anyhttps://www.radiologyinfo.org/en/info/fistulogram-sinogram#:~:text=The%20radiologist%20typically%20will%20introduce,plastic%20tube%20called%20a%20catheter.",,
IVP WITH TOMOGRAPHY,Genitourinary,"An intravenous pyelogram evaluates the kidneys, ureters, and bladder.",X‑ray,Yes,IVP uses X‑ray imaging to view the urinary tract after intravenous injection of contrast materialhttps://www.radiologyinfo.org/en/info/ivp#:~:text=An%20intravenous%20pyelogram%20,contrast%20material%20injected%20into%20veins.,Contrast material is injected into a vein to visualize the urinary tracthttps://www.radiologyinfo.org/en/info/ivp#:~:text=An%20intravenous%20pyelogram%20,contrast%20material%20injected%20into%20veins.,,
L CTA UPPER EXT W&W/O C & RECONS LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,CT,No,,,,,,
L MRA UPPER EXTREMITY LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,MRI,No,,,,,,
L THUMB (AP & LATERAL) LEFT,MSK Upper Limb,An AP and lateral x‑ray of the thumb evaluates bones of the hand.,X‑ray,No,X‑ray imaging is used to obtain AP and lateral views of bones.,X‑ray exams are non‑invasivehttps://www.nationwidechildrens.org/specialties/radiology/radiology-services/diagnostic-procedures/x-ray#:~:text=An%20x,shades%20show%20how%20some%20body.,,,
L US GUID NEEDLE PLACEMENT-BX/ASP/INJ/LOC LEFT,Whole-body/Polytrauma,Ultrasound guidance for needle placement can be used on various tissues and is not specific to one organ.,Ultrasound,Yes,"Ultrasound is used to guide needle placement during biopsy, aspiration or injectionhttps://my.clevelandclinic.org/health/diagnostics/muscle-biopsy#:~:text=4,%E2%80%94%20they%E2%80%99ll%20remove%20the%20instrument.",Needle placement into tissue for biopsy or injection is an invasive procedurehttps://my.clevelandclinic.org/health/diagnostics/muscle-biopsy#:~:text=4,%E2%80%94%20they%E2%80%99ll%20remove%20the%20instrument.,,,
L US MSK KNEE(PATELLA TENDON) LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,Ultrasound,No,,,,,,
"LO ELBOW (AP, LAT & OBLIQUE) LEFT IN O.R.",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
LP ABDOMEN (WITH LAT DECUB) LEFT PORT,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No,,,,,,
LP AP WRIST & HAND LEFT PORT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
LP PLEURAL ASP BY RADIOLOGIST LEFT PORT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,Yes,,,,,,
"LP SHOULDER (AP, NEUTRAL & AXILLARY) SOFT TISSUE LEFT PORT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
"LP WRIST, AP & LAT VIEWS LEFT PORT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
MIBG SCAN,Whole-body/Polytrauma,An MIBG scan is a nuclear medicine test used to detect certain tumors throughout the bodyhttps://together.stjude.org/en-us/treatment-tests-procedures/tests/imaging-tests/mibg-scan.html#:~:text=An%20MIBG%20scan%20uses%20a,detect%20certain%20types%20of%20tumors.,Nuclear medicine,No,The scan uses an injected radioactive tracer (meta‑iodobenzylguanidine) and a special camera to create imageshttps://together.stjude.org/en-us/treatment-tests-procedures/tests/imaging-tests/mibg-scan.html#:~:text=An%20MIBG%20scan%20uses%20a,detect%20certain%20types%20of%20tumors.,"Other than the intravenous tracer injection, the MIBG scan does not involve incisions or invasive procedures and does not hurthttps://together.stjude.org/en-us/treatment-tests-procedures/tests/imaging-tests/mibg-scan.html#:~:text=An%20MIBG%20scan%20uses%20a,detect%20certain%20types%20of%20tumors.",,
MR ARM W&W/O CONTRAST,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,MRI,No,,,,,,
MR NECK W/O CONTRAST,Neck,The description involves imaging of the neck or cervical region.,MRI,No,,,,,,
MR RECTAL W & W/O CONTRAST,Pelvis,MRI of the rectum evaluates structures within the pelvic region.,MRI,No,MRI uses magnetic fields and radio waves to image internal structures without radiationhttps://www.radiologyinfo.org/en/info/mri-brain#:~:text=A%20brain%20MRI%2C%20also%20called,a%20contrast%20material%20called%20gadolinium.,MRI is non‑invasive and does not require incisionshttps://www.radiologyinfo.org/en/info/mri-brain#:~:text=,functional%20information%20in%20selected%20cases.,,
MR SPINAL CANAL W & W.O CONTRAST,Spine,MRI of the spinal canal examines the spinal cord and surrounding structures.,MRI,No,MRI produces detailed images of the spine without radiationhttps://www.radiologyinfo.org/en/info/mri-brain#:~:text=A%20brain%20MRI%2C%20also%20called,a%20contrast%20material%20called%20gadolinium.,MRI scanning is non‑invasivehttps://www.radiologyinfo.org/en/info/mri-brain#:~:text=,functional%20information%20in%20selected%20cases.,,
MR THIGH W&W/O CONTRAST,MSK Lower Limb,An MRI of the thigh evaluates muscles and soft tissues of the lower limb.,MRI,No,MRI uses magnetic fields to produce detailed images without ionizing radiationhttps://www.radiologyinfo.org/en/info/mri-brain#:~:text=A%20brain%20MRI%2C%20also%20called,a%20contrast%20material%20called%20gadolinium.,MRI is a non‑invasive imaging techniquehttps://www.radiologyinfo.org/en/info/mri-brain#:~:text=,functional%20information%20in%20selected%20cases.,,
MR-ANGIO HEAD W/OUT CONTRAST,Head,The description involves imaging of the head or skull.,Angiography,Yes,,,,,,
MRA CERVICAL SPINE,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",MRI,No,,,,,,
MRA THORACIC SPINE,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",MRI,No,,,,,,
MRA TORSO (CHEST & ABD),Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",MRI,No,,,,,,
MRV ABDOMEN W/O CONTRAST,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No,,,,,,
"MYELOGRAM 2 OR MORE REGIONS, S&I",Spine,A myelogram involves imaging the spinal canal after contrast injection.,Fluoroscopy,Yes,A radiologist injects contrast into the spinal canal and uses fluoroscopy to take images of the spine.,"The procedure includes injecting contrast into the cerebrospinal fluid via lumbar puncture, making it invasive.",,,,
NEPHROSTOGRAM,Genitourinary,A nephrostogram evaluates the upper urinary tract (kidneys and ureters) using an existing nephrostomy tubehttps://genhealth.ai/code/cpt4/50431-injection-procedure-for-antegrade-nephrostogram-andor-ureterogram-complete-diagnostic-procedure-including-imaging-guidance-eg-ultrasound-and-fluoroscopy-and-all-associated-radiological-supervision-and-interpretation-existing-access#:~:text=This%20procedure%20involves%20injecting%20contrast,usually%20with%20ultrasound%20and%20fluoroscopy.,Fluoroscopy,Yes,Contrast dye is injected through a nephrostomy tube and X‑ray images are obtained to assess the kidneys and uretershttps://genhealth.ai/code/cpt4/50431-injection-procedure-for-antegrade-nephrostogram-andor-ureterogram-complete-diagnostic-procedure-including-imaging-guidance-eg-ultrasound-and-fluoroscopy-and-all-associated-radiological-supervision-and-interpretation-existing-access#:~:text=This%20procedure%20involves%20injecting%20contrast,usually%20with%20ultrasound%20and%20fluoroscopyhttps://genhealth.ai/code/cpt4/50431-injection-procedure-for-antegrade-nephrostogram-andor-ureterogram-complete-diagnostic-procedure-including-imaging-guidance-eg-ultrasound-and-fluoroscopy-and-all-associated-radiological-supervision-and-interpretation-existing-access#:~:text=4.%20Imaging%3A%20Continuous%20X,to%20ensure%20quality%20and%20accuracy.,The procedure requires injection of contrast through a nephrostomy tube and imaging guidancehttps://genhealth.ai/code/cpt4/50431-injection-procedure-for-antegrade-nephrostogram-andor-ureterogram-complete-diagnostic-procedure-including-imaging-guidance-eg-ultrasound-and-fluoroscopy-and-all-associated-radiological-supervision-and-interpretation-existing-access#:~:text=This%20procedure%20involves%20injecting%20contrast,usually%20with%20ultrasound%20and%20fluoroscopy.
NON-IONIC 100 CC,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
O C-SPINE (SINGLE VIEW ONLY) IN O.R.,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No,,,,,,
O L-SPINE (WITH OBLIQUE) IN O.R.,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No,,,,,,
O PELVIS WITH JUDET VIEWS IN O.R.,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,X-ray,No,,,,,,
"O SKULL (CALDWELL, LFT LAT, TOWNES & BASE) IN O.R.",Head,Multiple skull projections evaluate cranial bones.,X‑ray,No,"Caldwell, lateral, Towne and base views are standard skull radiographshttps://radiopaedia.org/articles/skull-towne-view-1#:~:text=The%20Towne%20view%C2%A0is%20an%20angled,in%20the%20shadow%20of%20the.",X‑ray imaging is non‑invasivefile:///home/oai/redirect.html#:~:text=Overview.,,,,
OB F/U WITH MEASUREMENT',Obstetric,The description relates to pregnancy or fetal imaging.,X-ray,No,,,,,,
OB LOWER EXTREMITY FLUORO WITHOUT RADIOLOGIST IN O.R. BILAT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
OL ANKLE (2 VIEWS) IN O.R. LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
"OL ELBOW, AP & LAT VIEWS IN O.R. LEFT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
OO C-SPINE NON-TRAUMA 2-3 VIEWS IN O.R. IN O.R.,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No,,,,,,
OO C-SPINE SGL 1 VIEW IN O.R. IN O.R.,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No,,,,,,
OP ABDOMINAL FLUORO WITHOUT RADIOLOGIST IN O.R. PORT,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No,,,,,,
OP C-SPINE (PORTABLE) IN O.R. PORT,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No,,,,,,
