description,class,class_reason,tool,is_invasive
MIBG SCAN,Whole-body/Polytrauma,An MIBG scan is a nuclear medicine test used to detect certain tumors throughout the bodyhttps://together.stjude.org/en-us/treatment-tests-procedures/tests/imaging-tests/mibg-scan.html#:~:text=An%20MIBG%20scan%20uses%20a,detect%20certain%20types%20of%20tumors.,No
MR ARM W&W/O CONTRAST,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,MRI,No
MR NECK W/O CONTRAST,Neck,The description involves imaging of the neck or cervical region.,MRI,No
MR RECTAL W & W/O CONTRAST,Pelvis,MRI of the rectum evaluates structures within the pelvic region.,MRI,No
MR SPINAL CANAL W & W.O CONTRAST,Spine,MRI of the spinal canal examines the spinal cord and surrounding structures.,MRI,No
MR THIGH W&W/O CONTRAST,MSK Lower Limb,An MRI of the thigh evaluates muscles and soft tissues of the lower limb.,MRI,No
MR-ANGIO HEAD W/OUT CONTRAST,Head,The description involves imaging of the head or skull.,Angiography,Yes
MRA CERVICAL SPINE,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",MRI,No
MRA THORACIC SPINE,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",MRI,No
MRA TORSO (CHEST & ABD),Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",MRI,No
MRV ABDOMEN W/O CONTRAST,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No
"MYELOGRAM 2 OR MORE REGIONS, S&I",Spine,A myelogram involves imaging the spinal canal after contrast injection.,Fluoroscopy,Yes
NEPHROSTOGRAM,Genitourinary,A nephrostogram evaluates the upper urinary tract (kidneys and ureters) using an existing nephrostomy tubehttps://genhealth.ai/code/cpt4/50431-injection-procedure-for-antegrade-nephrostogram-andor-ureterogram-complete-diagnostic-procedure-including-imaging-guidance-eg-ultrasound-and-fluoroscopy-and-all-associated-radiological-supervision-and-interpretation-existing-access#:~:text=This%20procedure%20involves%20injecting%20contrast,usually%20with%20ultrasound%20and%20fluoroscopy.,Yes
NON-IONIC 100 CC,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
O C-SPINE (SINGLE VIEW ONLY) IN O.R.,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No
O L-SPINE (WITH OBLIQUE) IN O.R.,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No
O PELVIS WITH JUDET VIEWS IN O.R.,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,X-ray,No
"O SKULL (CALDWELL, LFT LAT, TOWNES & BASE) IN O.R.",Head,Multiple skull projections evaluate cranial bones.,X‑ray,No
OB F/U WITH MEASUREMENT',Obstetric,The description relates to pregnancy or fetal imaging.,X-ray,No
OB LOWER EXTREMITY FLUORO WITHOUT RADIOLOGIST IN O.R. BILAT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
OL ANKLE (2 VIEWS) IN O.R. LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
"OL ELBOW, AP & LAT VIEWS IN O.R. LEFT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
OO C-SPINE NON-TRAUMA 2-3 VIEWS IN O.R. IN O.R.,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No
OO C-SPINE SGL 1 VIEW IN O.R. IN O.R.,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No
OP ABDOMINAL FLUORO WITHOUT RADIOLOGIST IN O.R. PORT,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No
OP C-SPINE (PORTABLE) IN O.R. PORT,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No
OP L-SPINE (AP & LAT) IN O.R. PORT,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No
OPL LOWER EXTREMITY FLUORO WITHOUT RADIOLOGIST IN O.R. PORT LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
OR ANKLE (2 VIEWS) IN O.R. RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
OR FOOT 2 VIEWS IN O.R. RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
"OR KNEE (AP, LAT & OBLIQUE) IN O.R. RIGHT",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
P BLADDER VOLUMETRIC US PORT,Genitourinary,The description involves imaging of the urinary or reproductive organs.,Ultrasound,No
P BX-NEEDLE LIVER BY RADIOLOGIST PORT,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,Interventional Procedure,Yes
P ERCP BILIARY&PANCREAS BY GI UNIT PORT,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No
P FACIAL BONE (WATERS & LAT) PORT,Head,Waters and lateral views of the facial bones evaluate the midface and sinus areas.,X‑ray,No
P MANDIBLE (PANOREX ONLY) PORT,Head,A panorex image captures the entire mandible and teeth.,X‑ray,No
P PANCREAS US PORT,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,Ultrasound,No
"P PELVIS U.S., TRANSVAGINAL PORT",Pelvis,The description involves imaging of the pelvic bones or pelvic region.,Ultrasound,No
"P THOR SP,SINGLE FILM PORT",Spine,This is a single portable radiograph of the thoracic spine.,X‑ray,No
P UNILAT BREAST US PORT,Breast,The description involves imaging of the breasts.,Ultrasound,No
PENILE ULTRASOUND,Genitourinary,Ultrasound of the penis assesses structures in the male genitourinary system.,Ultrasound,No
PERC DILATATION INTRACRANIAL VASOSPASM;INITIAL VESSEL,Neural,"This procedure dilates an intracranial vessel to treat vasospasm, involving cerebral vasculature.",Interventional Procedure,Yes
PERC TRANSHEPATIC BILIARY DRAINAGE,Abdomen,The procedure drains bile ducts within the liver.,Interventional Procedure,Yes
PICC LINE PLACMENT SCH,Vascular,Peripherally inserted central catheter placement involves placing a long catheter into a peripheral vein and advancing it to a central vein.,Interventional Procedure,Yes
PL BABYGRAM CHEST DECUB ONLY (71035) PORT LEFT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No
PL FEMUR (AP & LAT) PORT LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
"PR FOOT AP,LAT & OBL PORT RIGHT",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
PR KNEE (2 VIEWS) PORT RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
PULMONARY EMBOECTOMY,Cardiothoracic,Pulmonary embolectomy removes clots from the pulmonary arteries in the chest.,Interventional Procedure,Yes
R 93990 AVF/DUPLEX HEMO/DIAL ACCESS RIGHT,Vascular,Duplex ultrasound evaluates an arteriovenous fistula used for hemodialysis access.,Ultrasound,No
R GLENO-HUMERAL SHOULDER (W/O Y VIEW) RIGHT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
R HIP 1 VIEW RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
R INJ/ASP MAJOR JT W/FLUORO RIGHT,MSK Upper Limb,"Fluoroscopic injection or aspiration of a major joint (e.g., shoulder) on the right side.",Fluoroscopy,Yes
R MAMMO CORE BIOPSY RIGHT,Breast,The description involves imaging of the breasts.,Mammography,Yes
RO SHOULDER 1 VIEW RIGHT IN O.R.,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
"RP ELBOW, AP & LAT VIEWS RIGHT PORT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
RP HUMERUS (AP & LAT) SOFT TISSUE RIGHT PORT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,Ultrasound,No
RP KNEE( (SINGLE VIEW) RIGHT PORT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
RP UPPER EXTREM VEINS US RIGHT PORT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,Ultrasound,No
"RP WRIST, AP & LAT VIEWS RIGHT PORT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
SPINAL CANAL CONTENTS US,Spine,Ultrasound imaging of spinal canal contents evaluates spinal anatomy.,Ultrasound,No
STERNUM,Chest,Imaging of the sternum (breastbone) belongs to the chest region.,X‑ray,No
T ENDO STENT GRAFT THORAC ANEURYSM W/SUB,Irrelevant,The description does not correspond to a specific radiology anatomy test.,Angiography,Yes
THORACENTESIS W/TUBE INSERTION,Chest,Thoracentesis drains pleural fluid from the chest cavity.,Interventional Procedure,Yes
THORACOLUMBAR (AP & LAT),Spine,AP and lateral radiographs of the thoracolumbar region assess the spine.,X‑ray,No
"US BUTTOCKS, SOFT TISSUE",MSK Lower Limb,Ultrasound of the buttocks evaluates soft tissues of the lower limb region.,Ultrasound,No
"UTERINE FIBROID EMBO, ALL INCLUSIVE",Vascular,Uterine fibroid embolization is a vascular procedure that embolizes the uterine arteries.,Interventional Procedure,Yes
VENOGRAPHY IVC S&I,Vascular,IVC venography visualizes the inferior vena cava and associated veins.,Fluoroscopy,Yes
VIEW THORACIC SPINE,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No
ACRI NLST 1 VIEW CHEST,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No
ALL TYPES/SITES W/O PORT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
AMNIOCENTESIS BY OB,Obstetric,Amniocentesis is performed during pregnancy to sample amniotic fluid.,Ultrasound,Yes
AORTO-ILIAC A-GRAM,Vascular,An aorto‑iliac angiogram evaluates the aorta and iliac arteries.,Fluoroscopy,Yes
B 3' FILM ORTHO AP LOWER EXT BILAT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
B 38790 INJ LYMPHANGIOGRAPHY BILAT,Vascular,The description involves imaging of blood vessels or vascular structures.,Angiography,Yes
B ANKLE 1 VIEW BILAT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
B ART DUP EXT LO UNI;F/U BILAT,Vascular,Arterial duplex ultrasound examines the arteries of the lower extremities.,Ultrasound,No
B GLENO-HUMERAL SHOULDER (W/ Y VIEW) BILAT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
B HIP UNILAT MIN 2 VIEWS BILAT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
"B KNEE, STANDING (AP & LAT IN 30 DEG FLEX) BILAT",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
B MR LEG ANGIOGRAM BILAT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,MRI,Yes
B MR THIGH W/O CONTRAST BILAT,Irrelevant,The description does not correspond to a specific radiology anatomy test.,MRI,No
BO KNEE (2 VIEWS) BILAT IN O.R.,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
BP ANKLE (2 VIEWS) BILAT PORT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
"BP ELBOW (AP, LAT & OBLIQUE) BILAT PORT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
BP FOOT 2 VIEWS BILAT PORT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
"BP SHOULDER (AP, NEUTRAL & AXILLARY) TRAUMA BILAT PORT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
BX PAROTID/SAL GLAND,Head,Biopsy of the parotid or salivary gland involves sampling tissue from glands in the head.,Interventional Procedure,Yes
C-SPINE NON-TRAUMA W/OBLS 3 VIEWS,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No
"C-SPINE, NON-TRAUMA (WITH OBLS)",Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No
CONSULT OUTSIDE MAMMOGRAM,Breast,The description involves imaging of the breasts.,Mammography,No
CSF SHUNT STUDY,Whole-body/Polytrauma,A shunt series evaluates ventriculo‑peritoneal shunt tubing from head to abdomen.,X‑ray,No
CT ABD&PELVIS W/C COLON TECHNIQUE,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,CT,No
CT BILIARY DRAIN EXTERNAL,Abdomen,CT evaluation of an external biliary drain assesses the abdomen.,CT,No
CT BONE BX,MSK Upper Limb,CT‑guided bone biopsy collects tissue from a bone lesion.,CT,Yes
CT BONE DENSITY,Whole-body/Polytrauma,"Bone density CT evaluates bone mineral density, often at the spine or hip.",CT,No
CT DRAIN FOR APPENDICEAL ABSCESS,Abdomen,CT‑guided drainage of an appendiceal abscess is performed in the abdominal region.,CT,Yes
CT HEART W/O CONTRAST W/IMAGE PP AND QUANTITATIVE CALCIUM,Cardiothoracic,The procedure relates to the heart or thoracic vasculature.,CT,No
CT HEART W/O CONTRAST WITH CALCIUM EVALUATION,Cardiothoracic,The procedure relates to the heart or thoracic vasculature.,CT,No
CT NECK DRAINAGE,Neck,The description involves imaging of the neck or cervical region.,CT,Yes
CTA LOWER EXT W/&W/O C & RECONS,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,CT,No
CTA TORSO,Whole-body/Polytrauma,CT angiography of the torso evaluates multiple organ systems in the chest and abdomen.,CT,No
CTC VIRTUAL COLONOGRAPHY W/ CONTRAST,Abdomen,CT colonography images the colon and rectum.,CT,Yes
CTU (ABD/PEL) W/CONTRAST,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,CT,No
CTU W/ &W/O CONTRAST,Genitourinary,"CT urography evaluates the kidneys, ureters, and bladder.",CT,No
CYSTOGRAM,Genitourinary,The description involves imaging of the urinary or reproductive organs.,X-ray,No
DIGITAL SCREENING,Breast,Digital screening refers to screening mammography of the breasts.,X‑ray,No
ED REQUEST FOR SECOND OPINION READ,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
EMERGENCY ABDOMEN U.S.,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,Ultrasound,No
FIBRIN STRIPPING THRU LUMEN,Vascular,Fibrin stripping removes a fibrin sheath from an indwelling vascular catheter.,Interventional Procedure,Yes
FLOW STUDY,Whole-body/Polytrauma,A flow study typically refers to a nuclear medicine test assessing blood or CSF flow without specifying an anatomic region.,Nuclear Medicine,No
FULL FETAL LOW RISK,Obstetric,The description relates to pregnancy or fetal imaging.,X-ray,No
GASTRO ENDOSCOPIC TUBE PLCMT,Abdomen,Gastrostomy tube placement delivers nutrition directly into the stomach.,Interventional Procedure,Yes
"GROIN, SOFT TISSUE",MSK Lower Limb,An ultrasound of the groin assesses soft tissues of the lower limb region.,Ultrasound,No
GUIDANCE CYST OR RENAL ANY LOC US,Genitourinary,The description involves imaging of the urinary or reproductive organs.,X-ray,Yes
HEAT DAMAGED RBC,Whole-body/Polytrauma,Heat‑damaged red blood cell studies evaluate splenic uptake or vascular sites using nuclear medicine.,Nuclear Medicine,No
HEPATIC VENOGRAM WITH PRESSURES,Vascular,The description involves imaging of blood vessels or vascular structures.,Angiography,Yes
INTRO BRACHIA,Vascular,Introduction via the brachial artery involves vascular access for angiographic procedures.,Interventional Procedure,Yes
J TUBE REPOSITION,Abdomen,Repositioning a jejunal feeding tube involves manipulating a tube within the gastrointestinal tract.,Interventional Procedure,Yes
L ANKLE/FOOT (AP & LAT) SOFT TISSUE LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
L INJ/ASP MAJOR JT W/FLUORO LEFT,MSK Upper Limb,"Fluoroscopic injection or aspiration of a major joint (e.g., shoulder or knee) targets musculoskeletal structures.",Fluoroscopy,Yes
"L KNEE, STANDING (AP & LAT IN 30 DEG FLEX) LEFT",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
L MAMMO CORE BIOPSY LEFT,Breast,The description involves imaging of the breasts.,Mammography,Yes
L MR ELBOW W/O CONTRAST LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,MRI,No
L MR SHOULDER W/CONTRAST LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,MRI,No
L MR THIGH W/CONTRAST LEFT,MSK Lower Limb,MRI of the left thigh evaluates soft tissues of the lower limb.,MRI,No
L NAVICULAR (SCAPHOID) VIEW ONLY LEFT,MSK Upper Limb,Navicular (scaphoid) views are x‑ray projections of the wrist bones.,X‑ray,No
L US MSK INJ SINGLE TEN/SHEATH/LIG LEFT,MSK Upper Limb,"Ultrasound‑guided injection into a tendon, sheath or ligament is a musculoskeletal procedure.",Ultrasound,Yes
